Date,Close/Last,Volume,Open,High,Low
01/13/2023,$173.43,6088155,$173.19,$174.01,$172.38
01/12/2023,$174,4269394,$174.26,$174.706,$172.8
01/11/2023,$174.88,6494755,$175.57,$175.72,$172.11
01/10/2023,$175.16,5047467,$175.7,$176.14,$174.32
01/09/2023,$175.58,7925277,$179.3,$179.76,$175.175
01/06/2023,$180.25,5705960,$180.13,$180.93,$179.39
01/05/2023,$178.8,6255308,$179.02,$179.99,$178.41
01/04/2023,$180.13,9788784,$178.89,$180.19,$178.48
01/03/2023,$178.19,6344864,$176.16,$178.38,$176.01
12/30/2022,$176.65,4216656,$177.49,$177.77,$175.4
12/29/2022,$177.56,2828780,$177.55,$178.3,$177.07
12/28/2022,$176.66,2645619,$177.76,$178.45,$176.65
12/27/2022,$177.43,3067292,$178.11,$178.35,$176.99
12/23/2022,$177.48,3683420,$176.67,$177.52,$175.81
12/22/2022,$177.03,5709312,$176.77,$177.51,$175.34
12/21/2022,$177.68,5471973,$176.27,$178.18,$175.65
12/20/2022,$175.67,6174730,$176,$176.44,$175.17
12/19/2022,$175.48,5736042,$175.35,$176.165,$174.07
12/16/2022,$175.67,18841800,$177,$177,$174.86
12/15/2022,$177.49,7602616,$179.2,$179.84,$176.4
12/14/2022,$179.76,9533583,$178.58,$181.039,$178.58
12/13/2022,$179.21,9177603,$179.1,$180.2,$178.3083
12/12/2022,$177.84,4882385,$175.95,$177.87,$175.6
12/09/2022,$175.74,4560968,$177.12,$177.89,$175.66
12/08/2022,$177.2,4798463,$176.82,$177.47,$176.34
12/07/2022,$177.17,5702579,$176.57,$177.88,$176.23
12/06/2022,$176.1,7943506,$179.92,$180,$175.93
12/05/2022,$178.78,5120648,$178.36,$179.36,$178
12/02/2022,$178.88,5824048,$177.5,$178.96,$176.96
12/01/2022,$178.74,6282567,$179,$179.96,$177.77
11/30/2022,$178,13288010,$176.37,$178.01,$174.78
11/29/2022,$176.09,6700469,$177.01,$177.26,$174.66
11/28/2022,$177.33,6183178,$176.75,$177.77,$176.56
11/25/2022,$177.24,3058608,$177.38,$178.12,$176.86
11/23/2022,$177.01,5389488,$176.44,$177.4,$176.01
11/22/2022,$176.82,4708028,$176.4,$177.19,$176.33
11/21/2022,$175.97,5706552,$175.89,$176.55,$174.83
11/18/2022,$176.2,6555709,$175,$176.64,$174.623
11/17/2022,$174.86,4465845,$173,$174.99,$172.98
11/16/2022,$173.46,5501017,$173.64,$174.99,$173.13
11/15/2022,$172.39,9350954,$172.19,$173,$170.521
